frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,3ld_1,3ld_2,3ld_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,,,,,,,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
0,72,58.16882,22.50152,54,42,33.335,74.41685,68,51.00245,66.16856,53.6677,62.502,54.00926,55.00909,40.67213,66.00084,53.5314,44.75279,63.00794,49.0408,39.33475,61,51.00245,44.34461,47.01064,46.16787,33.5,61.50051,53.66667,35.6729,64.34715,44.25071,45.71674,,,,,,,,,,70.03888,51.01743,44.51123,60.75,53.375,36.00347
1,70.00714,55.72742,22.00253,52.89747,39.1,32.54177,70.67924,65,52.50238,64.59887,52.33758,61,52.50238,53,38.33478,64.3342,50.86065,44.51755,62.00806,48.52319,38,60.16874,50.83668,42.33333,46.50269,44.83457,31.16711,59.75052,52.33333,33.91759,60.67033,42.25666,44.75628,,,,,,,,,,68.6699,48.66781,43.02615,60,50.37748,34.00092
2,69.00725,54.22001,21.50581,51.9584,38.1,31.29178,68.01307,62,49,63.96682,51.33766,57.50217,51.75242,51.91693,38,62.66755,49.18474,43.52585,59.00847,45.51099,36.33333,60.00833,49.42596,41.33468,46.04346,42.16667,29.16714,58.75479,49.34347,33.16761,57.3343,40.25699,43.75286,,,,,,,,,,67,48.34368,43.00654,59,49.87751,33.25094
3,67.50741,52.94049,19.7504,50.33361,37,31.29178,66.02104,60.75206,46.50269,61.98188,48.34741,56.50221,49.0102,49.46009,37.33482,62.33356,48.35172,42.83625,58.00862,43.50287,35.33491,56.66887,46.75982,40.33342,44.75628,41.08333,28.51218,56.5,47.33451,32.16764,52.66667,38.7629,42.75292,,,,,,,,,,65,48.6952,42.75073,57.5,48.1276,31.75098
4,64.16753,49.97486,19.87588,47.33803,36.3,32.54689,65.00342,50.25,47.06644,60.96723,47.66783,56.26389,47.37912,48.98131,36.16667,60.00833,47.18109,40.7776,56.00893,42.0119,34.34789,55.66823,45.71555,40.33755,44.77513,40.75136,26.87523,53.75058,45.33456,31.84536,52,37.25,42.00298,,,,,,,,,,63.66754,43.00517,40.7569,55.75,45.26726,31.00101
5,56.17062,52.01709,20.00156,44.0202,36.7,33.1718,62.34135,42,45.52472,59.95951,47.50263,55.75006,45.75615,47.47962,35.5,58.51163,46.01479,40.7569,55.17296,41.01219,33.01515,54.83525,42.05728,39.85564,43.50287,40.08888,24.86072,51.16667,42.67838,29.83569,49.66779,36.5,40.75307,,,,,,,,,,62.3369,40.67213,39.0008,54.50057,44.75628,30.25103
6,54.50102,54.18743,20.38113,35.00635,38,33.31981,58.00383,30.5,43.5,59.30082,46.50747,55.0839,45.25622,46.72919,34.33333,56.85312,44.5078,40.25311,54.17308,39.51266,32.34021,52.50015,38.05034,39.84205,43.51796,39.75,23.52894,50.16694,40.0125,28.83577,47.33451,35.00089,38.5073,,,,,,,,,,60.67491,38.6796,30.25413,53.50058,42.25074,29.25107
7,52.16773,,,31.26111,,,53.67081,18.00174,42,57.30114,44.84108,54.42439,44.25282,45.7301,32.83376,55.69685,42.33629,39.75,50.85546,40.0125,30.67391,48.17461,33.74077,39.33475,42.75292,38.08479,21.86448,46.33453,38.01316,26.84061,43.33846,31.75098,36.5137,,,,,,,,,,59.03389,37.01351,26.50472,51.50061,40.50694,27.5
8,51.17644,,,29.00587,,,39.33333,17.25724,39.0032,57.31713,43.83618,51.76509,38,40.36485,31.16667,53.35442,38.20304,39.05125,47.18109,36,28.34559,43,29.76357,38.33342,42.25,36.75151,21.00265,36.17281,36.01389,22.66744,41,28.75435,34.2646,,,,,,,,,,57.01559,31,26.25119,43.76143,36.00087,22.25
9,53.51661,,,33.01052,,,38.01316,16.50189,35,53.97585,44,50.43216,36.25,38.86472,26.83385,51.36606,31.68245,37.77979,45.85787,34.00368,25.68614,41.33333,25.77215,37.33482,41.00076,33.75165,19.33621,33.66708,34.34789,21.92745,38.00146,25.50123,30.00937,,,,,,,,,,55.67565,24.67567,26.58542,42.0119,31.75098,18.75
10,54.1759,,,33.76029,,,39.00142,16.75187,31.5,52.30204,41.00542,49.33446,34.7509,37.36487,23.0006,49.37386,29.00192,36.7806,42.85959,31.50397,24.18103,39.33333,21.78387,36.33486,41.01219,30.41667,18.33636,16,28.6686,22.67709,34.0147,23.75526,27.77814,,,,,,,,,,51.67097,21.67692,27.58384,40.0125,30.50102,19.00164
11,58.11226,,,38.64262,,,40,23.00136,29.50424,51.97652,39.08902,48.01042,32.50865,34.36686,16.50337,47.52923,26.00214,36.25776,39.51723,29.00431,20.69085,35.66822,22.73722,36.58941,40.01701,28.83382,16.33333,14.3343,25.35306,23.42676,30.66667,21.30288,24.51148,,,,,,,,,,45.66667,21.33594,28.08333,29.25427,27.50114,18.63171
12,60.1113,,,40.14196,,,41.00135,24.50128,26.50472,50.62639,29.5,41.67866,30.00104,33.11648,12.17123,45.18634,25.00222,35.25,32.52093,27.50455,18.36059,20.66667,24.06896,33.33844,36.83371,29.17857,14.33721,15.00093,18.66964,24.42634,27,20.5548,23.51197,,,,,,,,,,42.0119,22.34328,32.11103,25.50123,28.00112,18.62877
13,62.42607,,,41.3267,,,41.672,29.00108,23,48.62587,21.51033,33.00168,27.75028,31.61492,16.33673,44.51529,25.67154,33.50093,28.17899,25.005,16.86301,21.67692,24.77472,22.66762,36.16705,29.33523,14.66667,16.16753,17.66981,24.92615,26.00214,19.80688,23.26209,,,,,,,,,,38.67241,24.34246,33.42706,25.5049,28.02789,18.90147
14,68.41748,,,44.31634,,,42.00529,33.75093,20.5061,47.63464,19.83613,30.00741,25.00281,29.36725,15.5,42.84144,26.33544,33.00095,25.85966,24.02082,15.33696,22.66667,26.4372,22.41671,35.34316,30.16713,15.0037,16.33418,18.00309,25.42596,24.33562,19.0263,22.52221,,,,,,,,,,33.00168,25.3421,34.92303,26,28.26769,18.88162
15,,,,,,,45.71044,,19.00658,46.29259,21.16929,25.33553,20.01111,24.61713,16,40.67213,19.66949,32.03514,21.18306,24.5,15.33696,22.33582,28.76549,21.87723,35.35259,30.66667,18.16743,16.34098,18.00309,26.67026,22.66667,18.52701,21.77298,,,,,,,,,,29.66854,25.66883,38.42245,27.5,29.33759,28.25028
