frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,9rd_1,9rd_2,9rd_3,9rv_1,9rv_2,9rv_3,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
0,0.60628,0.19422,-0.30235,1.16267,1.80787,-0.20246,0.64075,1.01249,,2.2334,1.64328,0.42336,2.67475,2.37076,3.2849,1.88068,4.18307,3.52562,1.79501,0.7283,5.11603,3.99753,4.16467,6.17552,0.12165,1.20394,1.50026,1.41351,3.26455,5.27774,1.5534,1.78991,2.12766,2.062,4.001,1.612,1.829,4.01005,0.95884,-0.455434,0.798,1.967,1.08,-0.893,0.20402
1,1.02121,0.53671,-0.33506,1.84063,2.294,0.40066,1.43835,1.19527,,2.67892,1.896,0.51616,2.8442,2.95934,3.46368,2.4256,4.07063,4.05283,1.84761,1.25217,5.3809,4.26554,4.60169,6.63947,0.49285,1.74562,2.0927,2.25753,3.79074,6.23072,2.43989,1.9847,2.31653,3.03,4.023,3.034,2.88,4.45405,1.06458,-0.0379995,1.723,2.359,1.33,-0.728,1.19927
2,1.14576,1.08862,0.18218,2.19837,2.33111,0.79572,1.63904,1.37828,,2.94048,2.06239,0.64375,3.16758,3.3139,3.74906,2.69141,4.46033,4.07244,1.88819,2.51688,5.57441,4.53274,5.19443,6.90813,0.8814,2.22396,2.22666,2.93172,4.09064,6.70448,3.39893,2.86718,2.58518,3.28,4.37,3.275,3.012,5.06352,1.23874,0.877169,1.995,2.336,1.422,0,2.19724
3,1.3842,1.45117,0.37024,2.54726,2.41655,1.18526,1.83633,2.17474,,3.50226,2.0614,0.77075,3.30043,3.73646,3.98353,2.74609,5.56127,4.26376,2.73498,3.22452,5.9411,4.65057,5.65442,7.43591,1.65108,2.76527,2.41175,4.69759,4.41507,6.34019,3.78729,4.33231,2.70336,3.461,4.893,3.741,3.301,5.23784,1.33101,1.42893,2.946,2.449,1.589,0,2.86794
4,1.97493,1.16914,0.7357,3.09659,2.3688,0.96125,2.02033,3.2785,,3.55212,2.1081,1.71178,3.99441,4.26156,3.97046,3.09632,6.43192,4.39871,3.32259,6.87403,5.68327,4.71722,5.41835,7.33233,2.4285,3.688,2.52124,4.73655,5.88893,6.34019,4.27278,5.85357,3.84026,3.637,5.475,3.755,3.7,5.55281,1.41116,1.77797,4.262,2.969,1.692,0.302,3.30434
5,3.07404,0.88595,0.52483,3.85249,2.28232,0.75884,2.04859,3.71656,,3.8437,2.22655,3.25583,4.558,4.46449,4.0266,3.35171,6.46593,4.77084,4.01866,7.26545,5.63832,4.76364,6.2446,7.87506,2.20645,4.24423,2.67543,5.83479,6.90904,6.23758,5.38041,6.30761,4.66484,3.684,10.086,6.158,3.935,6.61931,1.43992,2.33498,4.911,3.25,1.782,1.206,3.85128
6,4.55126,0.59993,0.08883,5.8534,1.52888,0.56355,2.15226,4.1135,,4.0737,2.56104,3.64119,5.27642,5.11731,3.67993,3.93655,6.5733,5.11625,4.32578,9.93474,5.50109,4.93416,6.62403,8.37211,2.36455,5.16462,2.95382,6.85914,7.93855,5.92546,6.26748,7.32081,5.42132,4.5,10.816,6.154,4.121,7.16728,1.49732,2.95293,6.018,6.771,2.124,1.649,4.20607
7,4.82771,,-0.36205,7.64575,,,2.53854,4.53466,,4.31708,2.57749,4.08562,5.21725,5.77812,3.95755,4.55377,6.67852,5.24714,5.36129,12.3225,5.47488,5.03508,7.00785,9.03462,2.5838,7.65226,3.93698,8.83624,9.79724,5.58827,7.69605,10.89355,5.91312,4.826,12.272,6.185,4.254,7.99403,1.86124,3.57508,6.86,8.39,2.552,2.243,5.28841
8,4.89353,,,8.36589,,,2.95934,6.1992,,5.4457,3.45662,4.37558,6.03389,8.462,4.4728,5.50852,8.88066,7.72915,7.7034,15.01836,5.55425,5.54944,7.26695,11.13458,2.91966,9.65541,7.05841,10.55674,13.42895,6.15241,9.69738,13.92747,6.90813,6.616,13.771,6.714,4.792,10.60197,1.97818,3.65553,12.339,8.529,4.516,3.612,8.32217
9,4.94407,,,8.26996,,,3.83368,6.58944,,5.85746,3.67273,5.15332,6.41879,10.51169,4.844,6.26554,8.98801,8.88518,8.26555,18.83843,5.69205,5.61323,8.35435,12.16705,5.09839,10.5343,9.02313,12.23508,15.57825,7.30095,15.39281,20.32314,7.53344,7.919,13.73,8.527,5.453,10.74401,2.43898,4.28703,13.934,8.265,5.311,4.883,11.4558
10,4.42235,,,7.931,,,4.04245,7.86671,,6.18246,4.01589,5.75573,6.65308,12.41926,5.20537,6.88603,9.5716,9.22082,9.15908,20.84753,5.75747,5.89993,9.19474,13.60973,6.93136,15.11819,9.09028,15.12401,19.25276,7.96961,20.49458,20.9245,8.93497,9.844,15.251,8.156,6.627,11.87735,2.80679,5.32265,15.977,7.951,6.35,5.882,10.8405
